Country,Coffee type,Total_domestic_consumption,Year,Consumption
Country 37,Robusta/Arabica,2093460000,1999-00,62160000.0
Country 38,Arabica,18688020,1999-00,739200.0
Country 39,Arabica,95190000,1999-00,3360000.0
Country 40,Robusta,157980000,1999-00,0.0
Country 41,Robusta,8640000,1999-00,336000.0
Country 42,Arabica/Robusta,3189660000,1999-00,77280000.0
Country 43,Arabica,0,1999-00,0.0
Country 44,Arabica,299700300,1999-00,8756160.0
Country 45,Robusta,70740000,1999-00,2688000.0
Country 46,Arabica,122916960,1999-00,4502400.0
Country 47,Robusta,10080000,1999-00,336000.0
Country 48,Robusta/Arabica,58300020,1999-00,2016000.0
Country 49,Robusta/Arabica,1248600000,1999-00,29097600.0
Country 50,Robusta,2167620,1999-00,134400.0
Country 51,Robusta,21090000,1999-00,940800.0
Country 52,Robusta/Arabica,284816400,1999-00,7996800.0
Country 53,Arabica,2386067999,1999-00,76335168.0
Country 54,Robusta/Arabica,1920928320,1999-00,23520000.0
Country 55,Arabica,121620000,1999-00,0.0
Country 1,Robusta/Arabica,46500000,2000-01,1344000.0
Country 2,Arabica,75180000,2000-01,2352000.0
Country 3,Arabica/Robusta,27824700000,2000-01,887040000.0
Country 4,Arabica/Robusta,3412020,2000-01,134400.0
Country 5,Arabica/Robusta,381540000,2000-01,13440000.0
Country 6,Robusta/Arabica,4920480000,2000-01,112627200.0
Country 7,Robusta,588705960,2000-01,5987520.0
Country 8,Arabica,2340000,2000-01,67200.0
Country 9,Arabica/Robusta,3608400,2000-01,134400.0
Country 10,Arabica,35100000,2000-01,1344000.0
Country 11,Arabica,402000000,2000-01,13440000.0
Country 12,Arabica,2139960,2000-01,134400.0
Country 13,Arabica,294000,2000-01,0.0
Country 14,Arabica,8595960,2000-01,268800.0
Country 15,Robusta,5360040,2000-01,201600.0
Country 16,Arabica,384006000,2000-01,14313600.0
Country 17,Arabica/Robusta,642823380,2000-01,21840000.0
Country 18,Arabica,600600000,2000-01,22848000.0
Country 19,Robusta/Arabica,2807280000,2000-01,55104000.0
Country 20,Arabica/Robusta,76425060,2000-01,1008000.0
Country 21,Arabica,991920,2000-01,40320.0
Country 22,Robusta/Arabica,143450940,2000-01,5040000.0
Country 23,Robusta,24794400,2000-01,201600.0
Country 24,Arabica,2536776384,2000-01,86150400.0
Country 25,Arabica,665335200,2000-01,25200000.0
Country 26,Robusta,410260140,2000-01,21280022.4
Country 27,Robusta/Arabica,359880000,2000-01,13440000.0
Country 28,Arabica,417242040,2000-01,9676800.0
Country 29,Robusta,0,2000-01,0.0
Country 30,Arabica,4536540000,2000-01,135340800.0
Country 31,Robusta,1123140,2000-01,20160.0
Country 32,Robusta,9970800,2000-01,67200.0
Country 33,Arabica/Robusta,590880000,2000-01,20160000.0
Country 34,Robusta,86730000,2000-01,3360000.0
Country 35,Robusta,9203040,2000-01,126537.6
Country 36,Arabica,471850680,2000-01,15456000.0
Country 37,Robusta/Arabica,2093460000,2000-01,65520000.0
Country 38,Arabica,18688020,2000-01,810902.4
Country 39,Arabica,95190000,2000-01,3360000.0
Country 40,Robusta,157980000,2000-01,0.0
Country 41,Robusta,8640000,2000-01,336000.0
Country 42,Arabica/Robusta,3189660000,2000-01,87696000.0
Country 43,Arabica,0,2000-01,0.0
Country 44,Arabica,299700300,2000-01,11755296.0
Country 45,Robusta,70740000,2000-01,2688000.0
Country 46,Arabica,122916960,2000-01,4502400.0
Country 47,Robusta,10080000,2000-01,336000.0
Country 48,Robusta/Arabica,58300020,2000-01,2016000.0
Country 49,Robusta/Arabica,1248600000,2000-01,33600000.0
Country 50,Robusta,2167620,2000-01,134400.0
Country 51,Robusta,21090000,2000-01,940800.0
Country 52,Robusta/Arabica,284816400,2000-01,9542400.0
Country 53,Arabica,2386067999,2000-01,79564128.0
Country 54,Robusta/Arabica,1920928320,2000-01,26989200.0
Country 55,Arabica,121620000,2000-01,0.0
Country 1,Robusta/Arabica,46500000,2001-02,1344000.0
Country 2,Arabica,75180000,2001-02,2452800.0
Country 3,Arabica/Robusta,27824700000,2001-02,913248000.0
Country 4,Arabica/Robusta,3412020,2001-02,134400.0
Country 5,Arabica/Robusta,381540000,2001-02,13440000.0
Country 6,Robusta/Arabica,4920480000,2001-02,134400000.0
Country 7,Robusta,588705960,2001-02,8601600.0
Country 8,Arabica,2340000,2001-02,67200.0
Country 9,Arabica/Robusta,3608400,2001-02,134400.0
Country 10,Arabica,35100000,2001-02,1344000.0
Country 11,Arabica,402000000,2001-02,13440000.0
Country 12,Arabica,2139960,2001-02,134400.0
Country 13,Arabica,294000,2001-02,0.0
Country 14,Arabica,8595960,2001-02,268800.0
Country 15,Robusta,5360040,2001-02,201600.0
Country 16,Arabica,384006000,2001-02,14784000.0
Country 17,Arabica/Robusta,642823380,2001-02,22861305.6
Country 18,Arabica,600600000,2001-02,22848000.0
Country 19,Robusta/Arabica,2807280000,2001-02,55171200.0
Country 20,Arabica/Robusta,76425060,2001-02,1008000.0
Country 21,Arabica,991920,2001-02,40320.0
Country 22,Robusta/Arabica,143450940,2001-02,4636800.0
Country 23,Robusta,24794400,2001-02,201600.0
Country 24,Arabica,2536776384,2001-02,85142400.0
Country 25,Arabica,665335200,2001-02,25200000.0
Country 26,Robusta,410260140,2001-02,21280022.4
Country 27,Robusta/Arabica,359880000,2001-02,13440000.0
Country 28,Arabica,417242040,2001-02,10301760.0
Country 29,Robusta,0,2001-02,0.0
Country 30,Arabica,4536540000,2001-02,142531200.0
Country 31,Robusta,1123140,2001-02,20160.0
Country 32,Robusta,9970800,2001-02,67200.0
Country 33,Arabica/Robusta,590880000,2001-02,20160000.0
Country 34,Robusta,86730000,2001-02,3360000.0
Country 35,Robusta,9203040,2001-02,280022.4
Country 36,Arabica,471850680,2001-02,13440000.0
Country 37,Robusta/Arabica,2093460000,2001-02,71702400.0
Country 38,Arabica,18688020,2001-02,672000.0
Country 39,Arabica,95190000,2001-02,3360000.0
Country 40,Robusta,157980000,2001-02,0.0
Country 41,Robusta,8640000,2001-02,336000.0
Country 42,Arabica/Robusta,3189660000,2001-02,100800000.0
Country 43,Arabica,0,2001-02,0.0
Country 44,Arabica,299700300,2001-02,11916105.6
Country 45,Robusta,70740000,2001-02,2688000.0
Country 46,Arabica,122916960,2001-02,4502400.0
Country 47,Robusta,10080000,2001-02,336000.0
Country 48,Robusta/Arabica,58300020,2001-02,2016000.0
Country 49,Robusta/Arabica,1248600000,2001-02,33600000.0
Country 50,Robusta,2167620,2001-02,134400.0
Country 51,Robusta,21090000,2001-02,940800.0
Country 52,Robusta/Arabica,284816400,2001-02,9475200.0
Country 53,Arabica,2386067999,2001-02,82929504.0
Country 54,Robusta/Arabica,1920928320,2001-02,30970128.0
Country 55,Arabica,121620000,2001-02,0.0
Country 1,Robusta/Arabica,46500000,2002-03,1344000.0
Country 2,Arabica,75180000,2002-03,2520000.0
Country 3,Arabica/Robusta,27824700000,2002-03,924000000.0
Country 4,Arabica/Robusta,3412020,2002-03,134400.0
Country 5,Arabica/Robusta,381540000,2002-03,10080000.0
Country 6,Robusta/Arabica,4920480000,2002-03,119548800.0
Country 7,Robusta,588705960,2002-03,14582400.0
Country 8,Arabica,2340000,2002-03,67200.0
Country 9,Arabica/Robusta,3608400,2002-03,134400.0
Country 10,Arabica,35100000,2002-03,1344000.0
Country 11,Arabica,402000000,2002-03,14784000.0
Country 12,Arabica,2139960,2002-03,22377.6
Country 13,Arabica,294000,2002-03,0.0
Country 14,Arabica,8595960,2002-03,268800.0
Country 15,Robusta,5360040,2002-03,201600.0
Country 16,Arabica,384006000,2002-03,15052800.0
Country 17,Arabica/Robusta,642823380,2002-03,22861305.6
Country 18,Arabica,600600000,2002-03,22848000.0
Country 19,Robusta/Arabica,2807280000,2002-03,55708800.0
Country 20,Arabica/Robusta,76425060,2002-03,1008000.0
Country 21,Arabica,991920,2002-03,40320.0
Country 22,Robusta/Arabica,143450940,2002-03,4636800.0
Country 23,Robusta,24794400,2002-03,254486.4
Country 24,Arabica,2536776384,2002-03,84134400.0
Country 25,Arabica,665335200,2002-03,25200000.0
Country 26,Robusta,410260140,2002-03,21280022.4
Country 27,Robusta/Arabica,359880000,2002-03,13440000.0
Country 28,Arabica,417242040,2002-03,10301760.0
Country 29,Robusta,0,2002-03,0.0
Country 30,Arabica,4536540000,2002-03,150124800.0
Country 31,Robusta,1123140,2002-03,20160.0
Country 32,Robusta,9970800,2002-03,67200.0
Country 33,Arabica/Robusta,590880000,2002-03,20160000.0
Country 34,Robusta,86730000,2002-03,3360000.0
Country 35,Robusta,9203040,2002-03,292320.0
Country 36,Arabica,471850680,2002-03,13440000.0
Country 37,Robusta/Arabica,2093460000,2002-03,76137600.0
Country 38,Arabica,18688020,2002-03,604800.0
Country 39,Arabica,95190000,2002-03,3360000.0
Country 40,Robusta,157980000,2002-03,10617600.0
Country 41,Robusta,8640000,2002-03,336000.0
Country 42,Arabica/Robusta,3189660000,2002-03,100800000.0
Country 43,Arabica,0,2002-03,0.0
Country 44,Arabica,299700300,2002-03,12070732.8
Country 45,Robusta,70740000,2002-03,2688000.0
Country 46,Arabica,122916960,2002-03,4502400.0
Country 47,Robusta,10080000,2002-03,336000.0
Country 48,Robusta/Arabica,58300020,2002-03,2016000.0
Country 49,Robusta/Arabica,1248600000,2002-03,33600000.0
Country 50,Robusta,2167620,2002-03,134400.0
Country 51,Robusta,21090000,2002-03,940800.0
Country 52,Robusta/Arabica,284816400,2002-03,9408000.0
Country 53,Arabica,2386067999,2002-03,86437344.0
Country 54,Robusta/Arabica,1920928320,2002-03,34866182.4
Country 55,Arabica,121620000,2002-03,0.0
Country 1,Robusta/Arabica,46500000,2003-04,1008000.0
Country 2,Arabica,75180000,2003-04,2587200.0
Country 3,Arabica/Robusta,27824700000,2003-04,954240000.0
Country 4,Arabica/Robusta,3412020,2003-04,134400.0
Country 5,Arabica/Robusta,381540000,2003-04,10080000.0
Country 6,Robusta/Arabica,4920480000,2003-04,123177600.0
Country 7,Robusta,588705960,2003-04,22377600.0
Country 8,Arabica,2340000,2003-04,67200.0
Country 9,Arabica/Robusta,3608400,2003-04,134400.0
Country 10,Arabica,35100000,2003-04,1344000.0
Country 11,Arabica,402000000,2003-04,14784000.0
Country 12,Arabica,2139960,2003-04,22377.6
Country 13,Arabica,294000,2003-04,0.0
Country 14,Arabica,8595960,2003-04,268800.0
Country 15,Robusta,5360040,2003-04,201600.0
Country 16,Arabica,384006000,2003-04,15052800.0
Country 17,Arabica/Robusta,642823380,2003-04,22848000.0
Country 18,Arabica,600600000,2003-04,22848000.0
Country 19,Robusta/Arabica,2807280000,2003-04,61622400.0
Country 20,Arabica/Robusta,76425060,2003-04,1814400.0
Country 21,Arabica,991920,2003-04,40320.0
Country 22,Robusta/Arabica,143450940,2003-04,4636800.0
Country 23,Robusta,24794400,2003-04,254486.4
Country 24,Arabica,2536776384,2003-04,83126400.0
Country 25,Arabica,665335200,2003-04,25200000.0
Country 26,Robusta,410260140,2003-04,21280022.4
Country 27,Robusta/Arabica,359880000,2003-04,13440000.0
Country 28,Arabica,417242040,2003-04,10301760.0
Country 29,Robusta,0,2003-04,0.0
Country 30,Arabica,4536540000,2003-04,158121600.0
Country 31,Robusta,1123140,2003-04,20160.0
Country 32,Robusta,9970800,2003-04,67200.0
Country 33,Arabica/Robusta,590880000,2003-04,20160000.0
Country 34,Robusta,86730000,2003-04,3360000.0
Country 35,Robusta,9203040,2003-04,319200.0
Country 36,Arabica,471850680,2003-04,13440000.0
Country 37,Robusta/Arabica,2093460000,2003-04,78422400.0
Country 38,Arabica,18688020,2003-04,604800.0
Country 39,Arabica,95190000,2003-04,3360000.0
Country 40,Robusta,157980000,2003-04,6921600.0
Country 41,Robusta,8640000,2003-04,336000.0
Country 42,Arabica/Robusta,3189660000,2003-04,100800000.0
Country 43,Arabica,0,2003-04,0.0
Country 44,Arabica,299700300,2003-04,12224688.0
Country 45,Robusta,70740000,2003-04,2688000.0
Country 46,Arabica,122916960,2003-04,4502400.0
Country 47,Robusta,10080000,2003-04,336000.0
Country 48,Robusta/Arabica,58300020,2003-04,2016000.0
Country 49,Robusta/Arabica,1248600000,2003-04,33600000.0
Country 50,Robusta,2167620,2003-04,134400.0
Country 51,Robusta,21090000,2003-04,940800.0
Country 52,Robusta/Arabica,284816400,2003-04,8803200.0
Country 53,Arabica,2386067999,2003-04,90093696.0
Country 54,Robusta/Arabica,1920928320,2003-04,40780051.2
Country 55,Arabica,121620000,2003-04,9811200.0
Country 1,Robusta/Arabica,46500000,2004-05,1008000.0
Country 2,Arabica,75180000,2004-05,3024000.0
Country 3,Arabica/Robusta,27824700000,2004-05,1004371200.0
Country 4,Arabica/Robusta,3412020,2004-05,134400.0
Country 5,Arabica/Robusta,381540000,2004-05,10080000.0
Country 6,Robusta/Arabica,4920480000,2004-05,134400000.0
Country 7,Robusta,588705960,2004-05,31382400.0
Country 8,Arabica,2340000,2004-05,67200.0
Country 9,Arabica/Robusta,3608400,2004-05,134400.0
Country 10,Arabica,35100000,2004-05,1344000.0
Country 11,Arabica,402000000,2004-05,14784000.0
Country 12,Arabica,2139960,2004-05,67200.0
Country 13,Arabica,294000,2004-05,0.0
Country 14,Arabica,8595960,2004-05,268800.0
Country 15,Robusta,5360040,2004-05,201600.0
Country 16,Arabica,384006000,2004-05,15052800.0
Country 17,Arabica/Robusta,642823380,2004-05,25401465.6
Country 18,Arabica,600600000,2004-05,22848000.0
Country 19,Robusta/Arabica,2807280000,2004-05,68544000.0
Country 20,Arabica/Robusta,76425060,2004-05,2486400.0
Country 21,Arabica,991920,2004-05,40320.0
Country 22,Robusta/Arabica,143450940,2004-05,4636800.0
Country 23,Robusta,24794400,2004-05,201600.0
Country 24,Arabica,2536776384,2004-05,82185600.0
Country 25,Arabica,665335200,2004-05,25200000.0
Country 26,Robusta,410260140,2004-05,21280022.4
Country 27,Robusta/Arabica,359880000,2004-05,13440000.0
Country 28,Arabica,417242040,2004-05,11592000.0
Country 29,Robusta,0,2004-05,0.0
Country 30,Arabica,4536540000,2004-05,166521600.0
Country 31,Robusta,1123140,2004-05,20160.0
Country 32,Robusta,9970800,2004-05,106848.0
Country 33,Arabica/Robusta,590880000,2004-05,20160000.0
Country 34,Robusta,86730000,2004-05,3360000.0
Country 35,Robusta,9203040,2004-05,369600.0
Country 36,Arabica,471850680,2004-05,15456000.0
Country 37,Robusta/Arabica,2093460000,2004-05,80774400.0
Country 38,Arabica,18688020,2004-05,604800.0
Country 39,Arabica,95190000,2004-05,3360000.0
Country 40,Robusta,157980000,2004-05,9072000.0
Country 41,Robusta,8640000,2004-05,336000.0
Country 42,Arabica/Robusta,3189660000,2004-05,100800000.0
Country 43,Arabica,0,2004-05,0.0
Country 44,Arabica,299700300,2004-05,12383481.6
Country 45,Robusta,70740000,2004-05,2688000.0
Country 46,Arabica,122916960,2004-05,4502400.0
Country 47,Robusta,10080000,2004-05,336000.0
Country 48,Robusta/Arabica,58300020,2004-05,2016000.0
Country 49,Robusta/Arabica,1248600000,2004-05,33600000.0
Country 50,Robusta,2167620,2004-05,134400.0
Country 51,Robusta,21090000,2004-05,940800.0
Country 52,Robusta/Arabica,284816400,2004-05,9408000.0
Country 53,Arabica,2386067999,2004-05,93904608.0
Country 54,Robusta/Arabica,1920928320,2004-05,46795123.2
Country 55,Arabica,121620000,2004-05,9139200.0
Country 1,Robusta/Arabica,46500000,2005-06,1008000.0
Country 2,Arabica,75180000,2005-06,2755200.0
Country 3,Arabica/Robusta,27824700000,2005-06,1044153600.0
Country 4,Arabica/Robusta,3412020,2005-06,128083.2
Country 5,Arabica/Robusta,381540000,2005-06,10080000.0
Country 6,Robusta/Arabica,4920480000,2005-06,168000000.0
Country 7,Robusta,588705960,2005-06,31382400.0
Country 8,Arabica,2340000,2005-06,67200.0
Country 9,Arabica/Robusta,3608400,2005-06,134400.0
Country 10,Arabica,35100000,2005-06,1344000.0
Country 11,Arabica,402000000,2005-06,14784000.0
Country 12,Arabica,2139960,2005-06,67200.0
Country 13,Arabica,294000,2005-06,0.0
Country 14,Arabica,8595960,2005-06,268800.0
Country 15,Robusta,5360040,2005-06,201600.0
Country 16,Arabica,384006000,2005-06,15052800.0
Country 17,Arabica/Robusta,642823380,2005-06,25401465.6
Country 18,Arabica,600600000,2005-06,22848000.0
Country 19,Robusta/Arabica,2807280000,2005-06,69888000.0
Country 20,Arabica/Robusta,76425060,2005-06,3158400.0
Country 21,Arabica,991920,2005-06,40320.0
Country 22,Robusta/Arabica,143450940,2005-06,4636800.0
Country 23,Robusta,24794400,2005-06,201600.0
Country 24,Arabica,2536776384,2005-06,81244800.0
Country 25,Arabica,665335200,2005-06,25200000.0
Country 26,Robusta,410260140,2005-06,21280022.4
Country 27,Robusta/Arabica,359880000,2005-06,13440000.0
Country 28,Arabica,417242040,2005-06,15059520.0
Country 29,Robusta,0,2005-06,0.0
Country 30,Arabica,4536540000,2005-06,175324800.0
Country 31,Robusta,1123140,2005-06,20160.0
Country 32,Robusta,9970800,2005-06,106848.0
Country 33,Arabica/Robusta,590880000,2005-06,20160000.0
Country 34,Robusta,86730000,2005-06,3360000.0
Country 35,Robusta,9203040,2005-06,376320.0
Country 36,Arabica,471850680,2005-06,15456000.0
Country 37,Robusta/Arabica,2093460000,2005-06,83193600.0
Country 38,Arabica,18688020,2005-06,604800.0
Country 39,Arabica,95190000,2005-06,3360000.0
Country 40,Robusta,157980000,2005-06,9408000.0
Country 41,Robusta,8640000,2005-06,336000.0
Country 42,Arabica/Robusta,3189660000,2005-06,115920000.0
Country 43,Arabica,0,2005-06,0.0
Country 44,Arabica,299700300,2005-06,12547516.8
Country 45,Robusta,70740000,2005-06,2688000.0
Country 46,Arabica,122916960,2005-06,4502400.0
Country 47,Robusta,10080000,2005-06,336000.0
Country 48,Robusta/Arabica,58300020,2005-06,2016000.0
Country 49,Robusta/Arabica,1248600000,2005-06,33600000.0
Country 50,Robusta,2167620,2005-06,134400.0
Country 51,Robusta,21090000,2005-06,940800.0
Country 52,Robusta/Arabica,284816400,2005-06,10080000.0
Country 53,Arabica,2386067999,2005-06,97876800.0
Country 54,Robusta/Arabica,1920928320,2005-06,53760000.0
Country 55,Arabica,121620000,2005-06,9273600.0
Country 1,Robusta/Arabica,46500000,2006-07,2016000.0
Country 2,Arabica,75180000,2006-07,2822400.0
Country 3,Arabica/Robusta,27824700000,2006-07,1097443200.0
Country 4,Arabica/Robusta,3412020,2006-07,104832.0
Country 5,Arabica/Robusta,381540000,2006-07,10080000.0
Country 6,Robusta/Arabica,4920480000,2006-07,190377600.0
Country 7,Robusta,588705960,2006-07,31382400.0
Country 8,Arabica,2340000,2006-07,67200.0
Country 9,Arabica/Robusta,3608400,2006-07,134400.0
Country 10,Arabica,35100000,2006-07,1344000.0
Country 11,Arabica,402000000,2006-07,14784000.0
Country 12,Arabica,2139960,2006-07,67200.0
Country 13,Arabica,294000,2006-07,0.0
Country 14,Arabica,8595960,2006-07,268800.0
Country 15,Robusta,5360040,2006-07,201600.0
Country 16,Arabica,384006000,2006-07,15052800.0
Country 17,Arabica/Robusta,642823380,2006-07,25401465.6
Country 18,Arabica,600600000,2006-07,22848000.0
Country 19,Robusta/Arabica,2807280000,2006-07,71232000.0
Country 20,Arabica/Robusta,76425060,2006-07,3158400.0
Country 21,Arabica,991920,2006-07,40320.0
Country 22,Robusta/Arabica,143450940,2006-07,4636800.0
Country 23,Robusta,24794400,2006-07,201600.0
Country 24,Arabica,2536776384,2006-07,80279337.6
Country 25,Arabica,665335200,2006-07,25200000.0
Country 26,Robusta,410260140,2006-07,21280022.4
Country 27,Robusta/Arabica,359880000,2006-07,13440000.0
Country 28,Arabica,417242040,2006-07,17055360.0
Country 29,Robusta,0,2006-07,0.0
Country 30,Arabica,4536540000,2006-07,184665600.0
Country 31,Robusta,1123140,2006-07,20160.0
Country 32,Robusta,9970800,2006-07,67200.0
Country 33,Arabica/Robusta,590880000,2006-07,20160000.0
Country 34,Robusta,86730000,2006-07,3360000.0
Country 35,Robusta,9203040,2006-07,384182.4
Country 36,Arabica,471850680,2006-07,15456000.0
Country 37,Robusta/Arabica,2093460000,2006-07,85680000.0
Country 38,Arabica,18688020,2006-07,604800.0
Country 39,Arabica,95190000,2006-07,3360000.0
Country 40,Robusta,157980000,2006-07,9408000.0
Country 41,Robusta,8640000,2006-07,336000.0
Country 42,Arabica/Robusta,3189660000,2006-07,134400000.0
Country 43,Arabica,0,2006-07,0.0
Country 44,Arabica,299700300,2006-07,12713232.0
Country 45,Robusta,70740000,2006-07,2688000.0
Country 46,Arabica,122916960,2006-07,4502400.0
Country 47,Robusta,10080000,2006-07,336000.0
Country 48,Robusta/Arabica,58300020,2006-07,2016000.0
Country 49,Robusta/Arabica,1248600000,2006-07,33600000.0
Country 50,Robusta,2167620,2006-07,134400.0
Country 51,Robusta,21090000,2006-07,739200.0
Country 52,Robusta/Arabica,284816400,2006-07,11760000.0
Country 53,Arabica,2386067999,2006-07,102016992.0
Country 54,Robusta/Arabica,1920928320,2006-07,61622400.0
Country 55,Arabica,121620000,2006-07,9273600.0
Country 1,Robusta/Arabica,46500000,2007-08,2016000.0
Country 2,Arabica,75180000,2007-08,2923200.0
Country 3,Arabica/Robusta,27824700000,2007-08,1149792000.0
Country 4,Arabica/Robusta,3412020,2007-08,91190.4
Country 5,Arabica/Robusta,381540000,2007-08,10080000.0
Country 6,Robusta/Arabica,4920480000,2007-08,223977600.0
Country 7,Robusta,588705960,2007-08,31382400.0
Country 8,Arabica,2340000,2007-08,67200.0
Country 9,Arabica/Robusta,3608400,2007-08,134400.0
Country 10,Arabica,35100000,2007-08,1344000.0
Country 11,Arabica,402000000,2007-08,14784000.0
Country 12,Arabica,2139960,2007-08,67200.0
Country 13,Arabica,294000,2007-08,0.0
Country 14,Arabica,8595960,2007-08,268800.0
Country 15,Robusta,5360040,2007-08,201600.0
Country 16,Arabica,384006000,2007-08,15052800.0
Country 17,Arabica/Robusta,642823380,2007-08,25401600.0
Country 18,Arabica,600600000,2007-08,22848000.0
Country 19,Robusta/Arabica,2807280000,2007-08,71232000.0
Country 20,Arabica/Robusta,76425060,2007-08,3158400.0
Country 21,Arabica,991920,2007-08,67200.0
Country 22,Robusta/Arabica,143450940,2007-08,4636800.0
Country 23,Robusta,24794400,2007-08,223977.6
Country 24,Arabica,2536776384,2007-08,86078025.6
Country 25,Arabica,665335200,2007-08,25200000.0
Country 26,Robusta,410260140,2007-08,21302400.0
Country 27,Robusta/Arabica,359880000,2007-08,13440000.0
Country 28,Arabica,417242040,2007-08,16833600.0
Country 29,Robusta,0,2007-08,0.0
Country 30,Arabica,4536540000,2007-08,194476800.0
Country 31,Robusta,1123140,2007-08,20160.0
Country 32,Robusta,9970800,2007-08,134400.0
Country 33,Arabica/Robusta,590880000,2007-08,20160000.0
Country 34,Robusta,86730000,2007-08,3360000.0
Country 35,Robusta,9203040,2007-08,470400.0
Country 36,Arabica,471850680,2007-08,16464000.0
Country 37,Robusta/Arabica,2093460000,2007-08,90720000.0
Country 38,Arabica,18688020,2007-08,604800.0
Country 39,Arabica,95190000,2007-08,3360000.0
Country 40,Robusta,157980000,2007-08,9408000.0
Country 41,Robusta,8640000,2007-08,336000.0
Country 42,Arabica/Robusta,3189660000,2007-08,147840000.0
Country 43,Arabica,0,2007-08,0.0
Country 44,Arabica,299700300,2007-08,12878544.0
Country 45,Robusta,70740000,2007-08,2688000.0
Country 46,Arabica,122916960,2007-08,4502400.0
Country 47,Robusta,10080000,2007-08,336000.0
Country 48,Robusta/Arabica,58300020,2007-08,2016000.0
Country 49,Robusta/Arabica,1248600000,2007-08,36960000.0
Country 50,Robusta,2167620,2007-08,134400.0
Country 51,Robusta,21090000,2007-08,739200.0
Country 52,Robusta/Arabica,284816400,2007-08,12112800.0
Country 53,Arabica,2386067999,2007-08,106332576.0
Country 54,Robusta/Arabica,1920928320,2007-08,63033600.0
Country 55,Arabica,121620000,2007-08,8736000.0
Country 1,Robusta/Arabica,46500000,2008-09,2016000.0
Country 2,Arabica,75180000,2008-09,3024000.0
Country 3,Arabica/Robusta,27824700000,2008-09,1186752000.0
Country 4,Arabica/Robusta,3412020,2008-09,96432.0
Country 5,Arabica/Robusta,381540000,2008-09,10080000.0
Country 6,Robusta/Arabica,4920480000,2008-09,223977600.0
Country 7,Robusta,588705960,2008-09,31382400.0
Country 8,Arabica,2340000,2008-09,67200.0
Country 9,Arabica/Robusta,3608400,2008-09,134400.0
Country 10,Arabica,35100000,2008-09,1344000.0
Country 11,Arabica,402000000,2008-09,16800000.0
Country 12,Arabica,2139960,2008-09,67200.0
Country 13,Arabica,294000,2008-09,0.0
Country 14,Arabica,8595960,2008-09,268800.0
Country 15,Robusta,5360040,2008-09,201600.0
Country 16,Arabica,384006000,2008-09,14784000.0
Country 17,Arabica/Robusta,642823380,2008-09,25401600.0
Country 18,Arabica,600600000,2008-09,22848000.0
Country 19,Robusta/Arabica,2807280000,2008-09,115584000.0
Country 20,Arabica/Robusta,76425060,2008-09,3158400.0
Country 21,Arabica,991920,2008-09,67200.0
Country 22,Robusta/Arabica,143450940,2008-09,4636800.0
Country 23,Robusta,24794400,2008-09,336000.0
Country 24,Arabica,2536776384,2008-09,86721600.0
Country 25,Arabica,665335200,2008-09,18000124.8
Country 26,Robusta,410260140,2008-09,21302400.0
Country 27,Robusta/Arabica,359880000,2008-09,13440000.0
Country 28,Arabica,417242040,2008-09,16416960.0
Country 29,Robusta,0,2008-09,0.0
Country 30,Arabica,4536540000,2008-09,204825600.0
Country 31,Robusta,1123140,2008-09,18480.0
Country 32,Robusta,9970800,2008-09,134400.0
Country 33,Arabica/Robusta,590880000,2008-09,22512000.0
Country 34,Robusta,86730000,2008-09,3360000.0
Country 35,Robusta,9203040,2008-09,568982.4
Country 36,Arabica,471850680,2008-09,18031977.6
Country 37,Robusta/Arabica,2093460000,2008-09,85680000.0
Country 38,Arabica,18688020,2008-09,604800.0
Country 39,Arabica,95190000,2008-09,3360000.0
Country 40,Robusta,157980000,2008-09,10080000.0
Country 41,Robusta,8640000,2008-09,336000.0
Country 42,Arabica/Robusta,3189660000,2008-09,147840000.0
Country 43,Arabica,0,2008-09,0.0
Country 44,Arabica,299700300,2008-09,13046678.4
Country 45,Robusta,70740000,2008-09,2688000.0
Country 46,Arabica,122916960,2008-09,4502400.0
Country 47,Robusta,10080000,2008-09,336000.0
Country 48,Robusta/Arabica,58300020,2008-09,2016000.0
Country 49,Robusta/Arabica,1248600000,2008-09,40320000.0
Country 50,Robusta,2167620,2008-09,134400.0
Country 51,Robusta,21090000,2008-09,739200.0
Country 52,Robusta/Arabica,284816400,2008-09,12432000.0
Country 53,Arabica,2386067999,2008-09,110830272.0
Country 54,Robusta/Arabica,1920928320,2008-09,68611200.0
Country 55,Arabica,121620000,2008-09,8736000.0
Country 1,Robusta/Arabica,46500000,2009-10,2016000.0
Country 2,Arabica,75180000,2009-10,3091200.0
Country 3,Arabica/Robusta,27824700000,2009-10,1235808000.0
Country 4,Arabica/Robusta,3412020,2009-10,94012.8
Country 5,Arabica/Robusta,381540000,2009-10,10080000.0
Country 6,Robusta/Arabica,4920480000,2009-10,223977600.0
Country 7,Robusta,588705960,2009-10,31382400.0
Country 8,Arabica,2340000,2009-10,67200.0
Country 9,Arabica/Robusta,3608400,2009-10,134400.0
Country 10,Arabica,35100000,2009-10,1344000.0
Country 11,Arabica,402000000,2009-10,16800000.0
Country 12,Arabica,2139960,2009-10,67200.0
Country 13,Arabica,294000,2009-10,0.0
Country 14,Arabica,8595960,2009-10,268800.0
Country 15,Robusta,5360040,2009-10,201600.0
Country 16,Arabica,384006000,2009-10,14784000.0
Country 17,Arabica/Robusta,642823380,2009-10,25401600.0
